"current electricity consumption";"tick"
600.0;1107.0
600.0;1109.0
600.0;1111.0
600.0;1113.0
600.0;1115.0
600.0;1117.0
600.0;1119.0
600.0;1121.0
600.0;1123.0
600.0;1125.0
600.0;1127.0
700.0;1129.0
800.0;1131.0
800.0;1133.0
800.0;1135.0
800.0;1137.0
800.0;1139.0
800.0;1141.0
800.0;1143.0
800.0;1145.0
800.0;1147.0
800.0;1149.0
800.0;1151.0
800.0;1153.0
800.0;1155.0
800.0;1157.0
800.0;1159.0
800.0;1161.0
800.0;1163.0
800.0;1165.0
800.0;1167.0
800.0;1169.0
800.0;1171.0
800.0;1173.0
800.0;1175.0
800.0;1177.0
800.0;1179.0
800.0;1181.0
800.0;1183.0
800.0;1185.0
800.0;1187.0
800.0;1189.0
800.0;1191.0
800.0;1193.0
800.0;1195.0
800.0;1197.0
800.0;1199.0
800.0;1201.0
800.0;1203.0
800.0;1205.0
800.0;1207.0
800.0;1209.0
800.0;1211.0
800.0;1213.0
800.0;1215.0
800.0;1217.0
800.0;1219.0
800.0;1221.0
800.0;1223.0
800.0;1225.0
800.0;1227.0
800.0;1229.0
800.0;1231.0
800.0;1233.0
800.0;1235.0
800.0;1237.0
800.0;1239.0
800.0;1241.0
800.0;1243.0
800.0;1245.0
800.0;1247.0
800.0;1249.0
800.0;1251.0
800.0;1253.0
800.0;1255.0
800.0;1257.0
800.0;1259.0
800.0;1261.0
800.0;1263.0
800.0;1265.0
800.0;1267.0
800.0;1269.0
800.0;1271.0
800.0;1273.0
800.0;1275.0
800.0;1277.0
800.0;1279.0
800.0;1281.0
800.0;1283.0
800.0;1285.0
800.0;1287.0
800.0;1289.0
800.0;1291.0
800.0;1293.0
800.0;1295.0
800.0;1297.0
700.0;1299.0
600.0;1301.0
600.0;1303.0
600.0;1305.0
600.0;1307.0
600.0;1309.0
600.0;1311.0
600.0;1313.0
600.0;1315.0
600.0;1317.0
600.0;1319.0
600.0;1321.0
600.0;1323.0
600.0;1325.0
600.0;1327.0
600.0;1329.0
600.0;1331.0
600.0;1333.0
600.0;1335.0
500.0;1337.0
400.0;1339.0
400.0;1341.0
400.0;1343.0
300.0;1345.0
300.0;1347.0
300.0;1349.0
300.0;1351.0
300.0;1353.0
300.0;1355.0
300.0;1357.0
300.0;1359.0
300.0;1361.0
300.0;1363.0
300.0;1365.0
300.0;1367.0
300.0;1369.0
300.0;1371.0
300.0;1373.0
300.0;1375.0
300.0;1377.0
300.0;1379.0
300.0;1381.0
300.0;1383.0
300.0;1385.0
300.0;1387.0
300.0;1389.0
300.0;1391.0
300.0;1393.0
300.0;1395.0
300.0;1397.0
300.0;1399.0
300.0;1401.0
300.0;1403.0
300.0;1405.0
300.0;1407.0
300.0;1409.0
300.0;1411.0
300.0;1413.0
300.0;1415.0
300.0;1417.0
300.0;1419.0
300.0;1421.0
300.0;1423.0
300.0;1425.0
300.0;1427.0
300.0;1429.0
300.0;1431.0
300.0;1433.0
300.0;1435.0
300.0;1437.0
300.0;1439.0
300.0;1441.0
300.0;1443.0
300.0;1445.0
300.0;1447.0
300.0;1449.0
300.0;1451.0
300.0;1453.0
300.0;1455.0
300.0;1457.0
300.0;1459.0
300.0;1461.0
300.0;1463.0
300.0;1465.0
300.0;1467.0
300.0;1469.0
300.0;1471.0
300.0;1473.0
300.0;1475.0
300.0;1477.0
300.0;1479.0
300.0;1481.0
300.0;1483.0
300.0;1485.0
300.0;1487.0
300.0;1489.0
300.0;1491.0
300.0;1493.0
300.0;1495.0
300.0;1497.0
300.0;1499.0
300.0;1501.0
300.0;1503.0
300.0;1505.0
300.0;1507.0
300.0;1509.0
300.0;1511.0
300.0;1513.0
300.0;1515.0
300.0;1517.0
300.0;1519.0
300.0;1521.0
300.0;1523.0
300.0;1525.0
300.0;1527.0
300.0;1529.0
300.0;1531.0
300.0;1533.0
300.0;1535.0
400.0;1537.0
400.0;1539.0
400.0;1541.0
400.0;1543.0
400.0;1545.0
400.0;1547.0
400.0;1549.0
400.0;1551.0
400.0;1553.0
400.0;1555.0
400.0;1557.0
400.0;1559.0
400.0;1561.0
500.0;1563.0
500.0;1565.0
500.0;1567.0
500.0;1569.0
500.0;1571.0
500.0;1573.0
500.0;1575.0
500.0;1577.0
500.0;1579.0
500.0;1581.0
500.0;1583.0
500.0;1585.0
500.0;1587.0
600.0;1589.0
600.0;1591.0
600.0;1593.0
600.0;1595.0
600.0;1597.0
500.0;1599.0
500.0;1601.0
500.0;1603.0
600.0;1605.0
600.0;1607.0
600.0;1609.0
600.0;1611.0
600.0;1613.0
600.0;1615.0
600.0;1617.0
500.0;1619.0
500.0;1621.0
500.0;1623.0
400.0;1625.0
400.0;1627.0
400.0;1629.0
400.0;1631.0
400.0;1633.0
400.0;1635.0
400.0;1637.0
400.0;1639.0
400.0;1641.0
400.0;1643.0
400.0;1645.0
400.0;1647.0
400.0;1649.0
400.0;1651.0
400.0;1653.0
400.0;1655.0
400.0;1657.0
400.0;1659.0
400.0;1661.0
400.0;1663.0
400.0;1665.0
400.0;1667.0
400.0;1669.0
400.0;1671.0
400.0;1673.0
400.0;1675.0
400.0;1677.0
400.0;1679.0
400.0;1681.0
400.0;1683.0
400.0;1685.0
400.0;1687.0
400.0;1689.0
400.0;1691.0
400.0;1693.0
400.0;1695.0
400.0;1697.0
400.0;1699.0
400.0;1701.0
400.0;1703.0
400.0;1705.0
400.0;1707.0
400.0;1709.0
400.0;1711.0
400.0;1713.0
400.0;1715.0
400.0;1717.0
400.0;1719.0
400.0;1721.0
400.0;1723.0
400.0;1725.0
400.0;1727.0
400.0;1729.0
400.0;1731.0
400.0;1733.0
400.0;1735.0
400.0;1737.0
400.0;1739.0
400.0;1741.0
400.0;1743.0
400.0;1745.0
400.0;1747.0
400.0;1749.0
400.0;1751.0
400.0;1753.0
400.0;1755.0
400.0;1757.0
400.0;1759.0
400.0;1761.0
400.0;1763.0
400.0;1765.0
400.0;1767.0
400.0;1769.0
400.0;1771.0
400.0;1773.0
400.0;1775.0
400.0;1777.0
400.0;1779.0
400.0;1781.0
400.0;1783.0
400.0;1785.0
400.0;1787.0
400.0;1789.0
400.0;1791.0
400.0;1793.0
400.0;1795.0
400.0;1797.0
400.0;1799.0
400.0;1801.0
400.0;1803.0
400.0;1805.0
400.0;1807.0
400.0;1809.0
400.0;1811.0
400.0;1813.0
400.0;1815.0
400.0;1817.0
400.0;1819.0
400.0;1821.0
400.0;1823.0
400.0;1825.0
400.0;1827.0
400.0;1829.0
400.0;1831.0
500.0;1833.0
500.0;1835.0
500.0;1837.0
500.0;1839.0
500.0;1841.0
500.0;1843.0
500.0;1845.0
500.0;1847.0
600.0;1849.0
600.0;1851.0
600.0;1853.0
600.0;1855.0
600.0;1857.0
600.0;1859.0
600.0;1861.0
600.0;1863.0
600.0;1865.0
600.0;1867.0
600.0;1869.0
600.0;1871.0
600.0;1873.0
600.0;1875.0
600.0;1877.0
600.0;1879.0
600.0;1881.0
600.0;1883.0
600.0;1885.0
600.0;1887.0
600.0;1889.0
700.0;1891.0
700.0;1893.0
700.0;1895.0
700.0;1897.0
700.0;1899.0
700.0;1901.0
700.0;1903.0
700.0;1905.0
700.0;1907.0
700.0;1909.0
700.0;1911.0
700.0;1913.0
700.0;1915.0
700.0;1917.0
700.0;1919.0
700.0;1921.0
700.0;1923.0
700.0;1925.0
700.0;1927.0
700.0;1929.0
700.0;1931.0
700.0;1933.0
700.0;1935.0
700.0;1937.0
700.0;1939.0
700.0;1941.0
700.0;1943.0
700.0;1945.0
700.0;1947.0
700.0;1949.0
700.0;1951.0
700.0;1953.0
700.0;1955.0
700.0;1957.0
700.0;1959.0
700.0;1961.0
700.0;1963.0
700.0;1965.0
700.0;1967.0
700.0;1969.0
700.0;1971.0
700.0;1973.0
700.0;1975.0
700.0;1977.0
700.0;1979.0
700.0;1981.0
700.0;1983.0
700.0;1985.0
700.0;1987.0
700.0;1989.0
700.0;1991.0
700.0;1993.0
700.0;1995.0
700.0;1997.0
700.0;1999.0
700.0;2001.0
700.0;2003.0
700.0;2005.0
700.0;2007.0
700.0;2009.0
700.0;2011.0
