"Average Speed of Drones";"tick"
0.981000000000023;1.0
2.161291727828982;3.0
3.680720525733989;5.0
5.196181887209799;7.0
6.579005796910074;9.0
7.752361280277337;11.0
8.731465957119092;13.0
9.586142417932594;15.0
10.304403128428667;17.0
10.910988655366546;19.0
11.388778561287808;21.0
11.791482534181137;23.0
12.1492052604721;25.0
12.443874956573174;27.0
12.673518991490146;29.0
12.852126537839572;31.0
13.016115897296507;33.0
13.176980299361254;35.0
13.329965751394417;37.0
13.475437008479721;39.0
13.608939468467096;41.0
13.696032132976107;43.0
13.77170229114555;45.0
13.828444785921405;47.0
13.873088911245688;49.0
13.892378703573872;51.0
13.879742304272272;53.0
13.843584911809309;55.0
13.77888795998899;57.0
13.6923840712354;59.0
13.604083333787225;61.0
13.496725944666675;63.0
13.377010711113561;65.0
13.254121185096547;67.0
13.109770740947187;69.0
12.975406752145933;71.0
12.837377764330878;73.0
12.712365755326948;75.0
12.589417040594196;77.0
12.484381867233624;79.0
12.396503130942076;81.0
12.34175243703309;83.0
12.318234562514606;85.0
12.321508024430265;87.0
12.340862499667045;89.0
12.377593965160044;91.0
12.418272508211624;93.0
12.468384645171398;95.0
12.529034956208433;97.0
12.594740626395529;99.0
12.664138706851011;101.0
12.73576804019832;103.0
12.80831418516126;105.0
12.880631837894029;107.0
12.951606661927276;109.0
13.012979893853146;111.0
13.06554097808312;113.0
13.122771517546958;115.0
13.166099603868101;117.0
13.205934801028777;119.0
13.238774932252957;121.0
13.274213831454823;123.0
13.300981575056483;125.0
13.323995769480602;127.0
13.34444191112229;129.0
13.362214492180064;131.0
13.3812890628421;133.0
13.399388254555639;135.0
13.41088422349291;137.0
13.415394722239107;139.0
13.41321994186624;141.0
13.411822259751213;143.0
13.403013273187783;145.0
13.391612131103114;147.0
13.372798080606485;149.0
13.358352133692478;151.0
13.343007056535718;153.0
13.319118441625625;155.0
13.292696620676871;157.0
13.270252229321608;159.0
13.244281440910466;161.0
13.22197846669994;163.0
13.198973122387434;165.0
13.180255929880708;167.0
13.162119191206795;169.0
13.145557627429952;171.0
13.130659620113232;173.0
13.124491619306399;175.0
13.123927501627163;177.0
13.133988832147299;179.0
13.151021103212843;181.0
13.174446651777588;183.0
13.202220110920287;185.0
13.232782958796422;187.0
13.26685351211309;189.0
13.305779947853175;191.0
13.349816938374005;193.0
13.39825471948547;195.0
13.450115548468439;197.0
13.504437301313809;199.0
13.55844728772133;201.0
13.610433121532935;203.0
13.65863999580861;205.0
13.70255942100277;207.0
13.742618977050618;209.0
13.781523441048117;211.0
13.812870477697631;213.0
13.840247726756854;215.0
13.859293443268916;217.0
13.874550333815332;219.0
13.882704592182666;221.0
13.887048265091716;223.0
13.887298779149653;225.0
13.883692071516956;227.0
13.873300269583247;229.0
13.85874287175484;231.0
13.843292147649771;233.0
13.822682593861645;235.0
13.798062968310287;237.0
13.774984746790842;239.0
13.75054074072572;241.0
13.723931991002063;243.0
13.698733105469705;245.0
13.678487867918149;247.0
13.65867945704575;249.0
