"total electricity consumption";"tick"
0.0;1.0
0.08888888888888889;5.0
0.17777777777777778;9.0
0.26666666666666666;13.0
0.35555555555555546;17.0
0.44444444444444425;21.0
0.5333333333333331;25.0
0.6222222222222221;29.0
0.7111111111111111;33.0
0.8000000000000002;37.0
0.8888888888888892;41.0
0.9777777777777782;45.0
1.0666666666666669;49.0
1.1555555555555554;53.0
1.244444444444444;57.0
1.3333333333333326;61.0
1.4222222222222212;65.0
1.5111111111111097;69.0
1.5999999999999983;73.0
1.6888888888888869;77.0
1.7777777777777755;81.0
1.866666666666664;85.0
1.9555555555555526;89.0
2.044444444444441;93.0
2.1333333333333298;97.0
2.2222222222222183;101.0
2.311111111111107;105.0
2.3999999999999955;109.0
2.488888888888884;113.0
2.5777777777777726;117.0
2.666666666666661;121.0
2.7555555555555498;125.0
2.8444444444444383;129.0
2.933333333333327;133.0
3.0222222222222155;137.0
3.111111111111104;141.0
3.1999999999999926;145.0
3.288888888888881;149.0
3.3777777777777698;153.0
3.4666666666666583;157.0
3.555555555555547;161.0
3.6444444444444355;165.0
3.733333333333324;169.0
3.8222222222222126;173.0
3.911111111111101;177.0
3.99999999999999;181.0
4.088888888888879;185.0
4.177777777777767;189.0
4.266666666666656;193.0
4.3555555555555445;197.0
4.444444444444433;201.0
4.533333333333322;205.0
4.62222222222221;209.0
4.711111111111099;213.0
4.799999999999987;217.0
4.888888888888876;221.0
4.9777777777777645;225.0
5.066666666666653;229.0
5.155555555555542;233.0
5.24444444444443;237.0
5.333333333333319;241.0
5.422222222222207;245.0
5.511111111111096;249.0
5.5999999999999845;253.0
5.688888888888873;257.0
5.777777777777762;261.0
5.86666666666665;265.0
5.955555555555539;269.0
6.044444444444427;273.0
6.133333333333316;277.0
6.222222222222205;281.0
6.311111111111093;285.0
6.399999999999982;289.0
6.48888888888887;293.0
6.577777777777759;297.0
6.666666666666647;301.0
6.755555555555536;305.0
6.844444444444425;309.0
6.933333333333313;313.0
7.022222222222202;317.0
7.11111111111109;321.0
7.199999999999979;325.0
7.288888888888867;329.0
7.377777777777756;333.0
7.466666666666645;337.0
7.555555555555533;341.0
7.644444444444422;345.0
7.73333333333331;349.0
7.822222222222199;353.0
7.9111111111110874;357.0
7.999999999999976;361.0
8.088888888888865;365.0
8.177777777777754;369.0
8.266666666666643;373.0
8.355555555555531;377.0
8.44444444444442;381.0
8.533333333333308;385.0
8.622222222222197;389.0
8.711111111111085;393.0
8.799999999999974;397.0
8.888888888888863;401.0
8.977777777777751;405.0
9.06666666666664;409.0
9.155555555555528;413.0
9.244444444444417;417.0
9.333333333333306;421.0
9.422222222222194;425.0
9.511111111111083;429.0
9.599999999999971;433.0
9.68888888888886;437.0
9.777777777777748;441.0
9.866666666666637;445.0
9.955555555555526;449.0
10.044444444444414;453.0
10.133333333333303;457.0
10.222222222222191;461.0
10.31111111111108;465.0
10.399999999999968;469.0
10.488888888888857;473.0
10.577777777777746;477.0
10.666666666666634;481.0
10.755555555555523;485.0
10.844444444444411;489.0
10.9333333333333;493.0
11.022222222222188;497.0
11.111111111111077;501.0
11.199999999999966;505.0
11.288888888888854;509.0
11.377777777777743;513.0
11.466666666666631;517.0
11.55555555555552;521.0
11.644444444444408;525.0
11.733333333333297;529.0
11.822222222222186;533.0
11.911111111111074;537.0
11.999999999999963;541.0
12.083333333333295;545.0
12.16111111111107;549.0
12.238888888888846;553.0
12.316666666666622;557.0
12.391666666666621;561.0
12.458333333333291;565.0
12.524999999999961;569.0
12.586111111111075;573.0
12.638888888888854;577.0
12.683333333333298;581.0
12.71666666666663;585.0
12.749999999999961;589.0
12.783333333333292;593.0
12.813888888888847;597.0
12.836111111111073;601.0
12.858333333333299;605.0
12.880555555555524;609.0
12.90277777777775;613.0
12.924999999999976;617.0
12.947222222222202;621.0
12.969444444444427;625.0
12.991666666666653;629.0
13.013888888888879;633.0
13.036111111111104;637.0
13.05833333333333;641.0
13.080555555555556;645.0
13.102777777777781;649.0
13.125000000000007;653.0
13.147222222222233;657.0
13.169444444444458;661.0
13.191666666666684;665.0
13.21388888888891;669.0
13.236111111111136;673.0
13.258333333333361;677.0
13.280555555555587;681.0
13.302777777777813;685.0
13.325000000000038;689.0
13.347222222222264;693.0
13.36944444444449;697.0
13.391666666666715;701.0
13.413888888888941;705.0
13.436111111111167;709.0
13.458333333333393;713.0
13.469444444444505;717.0
13.480555555555618;721.0
13.483333333333396;725.0
13.483333333333396;729.0
13.483333333333396;733.0
13.483333333333396;737.0
13.483333333333396;741.0
13.483333333333396;745.0
13.483333333333396;749.0
13.483333333333396;753.0
13.483333333333396;757.0
13.483333333333396;761.0
13.483333333333396;765.0
13.483333333333396;769.0
13.483333333333396;773.0
13.483333333333396;777.0
13.491666666666731;781.0
13.502777777777844;785.0
13.513888888888957;789.0
13.52500000000007;793.0
13.536111111111182;797.0
13.547222222222295;801.0
13.561111111111186;805.0
13.583333333333412;809.0
13.605555555555638;813.0
13.627777777777863;817.0
13.652777777777866;821.0
13.686111111111197;825.0
13.722222222222307;829.0
13.766666666666751;833.0
13.811111111111195;837.0
13.85555555555564;841.0
13.900000000000084;845.0
13.944444444444528;849.0
13.988888888888972;853.0
14.033333333333417;857.0
