"total distance of drones";"distance per drone";"tick"
4045.4886797293348;505.68608496616685;365.0
4070.270279535069;508.78378494188365;367.0
4095.616859348659;511.9521074185824;369.0
4121.359215576557;515.1699019470697;371.0
4147.124387834642;518.3905484793303;373.0
4173.58091025689;521.6976137821113;375.0
4200.232264807363;525.0290331009204;377.0
4226.257363913031;528.2821704891289;379.0
4252.95810270023;531.6197628375287;381.0
4280.287218145209;535.0359022681512;383.0
4307.421235494689;538.4276544368362;385.0
4333.732341740059;541.7165427175074;387.0
4360.839661110391;545.1049576387989;389.0
4388.446782729561;548.5558478411951;391.0
4416.2362897870435;552.0295362233804;393.0
4443.849922999368;555.481240374921;395.0
4471.644554705405;558.9555693381757;397.0
4499.601767940897;562.4502209926121;399.0
4527.626461258363;565.9533076572953;401.0
4554.74591671461;569.3432395893262;403.0
4581.228834760506;572.6536043450633;405.0
4607.398969942922;575.9248712428653;407.0
4633.007341848228;579.1259177310285;409.0
4657.952345286584;582.244043160823;411.0
4682.634408185499;585.3293010231873;413.0
4704.984071338802;588.1230089173503;415.0
4726.8996851812335;590.8624606476542;417.0
4747.677100623808;593.459637577976;419.0
4768.416414744196;596.0520518430245;421.0
4788.709377351909;598.5886721689886;423.0
4808.739751685773;601.0924689607216;425.0
4828.921603785191;603.6152004731489;427.0
4849.480735629981;606.1850919537476;429.0
4869.57786332928;608.69723291616;431.0
4889.164327862099;611.1455409827623;433.0
4908.983076934097;613.6228846167621;435.0
4929.842913078141;616.2303641347676;437.0
4949.908956558134;618.7386195697668;439.0
4969.559406813486;621.1949258516858;441.0
4988.886678123301;623.6108347654126;443.0
5007.357900202383;625.9197375252978;445.0
5025.386936116871;628.1733670146089;447.0
5042.653807393346;630.3317259241683;449.0
5060.499363510478;632.5624204388098;451.0
5078.597631443234;634.8247039304042;453.0
5097.890326515747;637.2362908144684;455.0
5117.288971741321;639.6611214676651;457.0
5137.024980485528;642.128122560691;459.0
5157.510319374848;644.688789921856;461.0
5178.2706913279035;647.2838364159879;463.0
5199.450678409457;649.9313348011822;465.0
5221.000663497259;652.6250829371573;467.0
5242.281746559363;655.2852183199203;469.0
5263.515908175916;657.9394885219895;471.0
5284.781902272655;660.5977377840819;473.0
