"Current Speed of Drones";"tick"
0.981;1.0
3.542868836869837;3.0
6.753108983845646;5.0
9.699083189406421;7.0
11.812672515353041;9.0
13.116996845584392;11.0
14.132269637947871;13.0
15.308935134362729;15.0
15.810568314440474;17.0
16.15091095365471;19.0
15.977540867792293;21.0
15.914981746126859;23.0
16.160846309259743;25.0
16.157981475969052;27.0
15.61211424270256;29.0
15.214839273280777;31.0
15.623199581257374;33.0
15.780396739471879;35.0
15.801914940319389;37.0
15.991328448218706;39.0
16.2823797106803;41.0
15.38654490940593;43.0
15.542469632514598;45.0
14.8310277765432;47.0
14.660886732625858;49.0
14.13406447781192;51.0
13.367522963972803;53.0
12.734402738073824;55.0
12.33626598557059;57.0
11.180319925007566;59.0
10.937371945589534;61.0
9.991756804408089;63.0
9.484927004204618;65.0
9.483658819180873;67.0
7.912994623574916;69.0
8.169598241596294;71.0
8.208089379595451;73.0
8.176163796565726;75.0
7.7822826715703375;77.0
8.476431815612225;79.0
9.098251147894153;81.0
10.223535569050096;83.0
11.833348129577738;85.0
12.928972935235583;87.0
13.000558986577344;89.0
14.186220841310732;91.0
14.338590815400362;93.0
14.70775514859056;95.0
15.51351154756799;97.0
15.874233874369786;99.0
16.175126993646646;101.0
16.41002995278238;103.0
16.581548327652825;105.0
16.69242970720107;107.0
16.741215739245412;109.0
16.32855075153465;111.0
16.207716313582207;113.0
16.252736440311637;115.0
15.656316595150884;117.0
15.151520456665008;119.0
15.1465687793486;121.0
15.525423448850246;123.0
14.543115353782994;125.0
14.848404052165085;127.0
14.590349766345287;129.0
14.514719186631176;131.0
14.434770117744849;133.0
14.813364780327683;135.0
14.166334610323123;137.0
13.65121983476048;139.0
13.151143138075483;141.0
12.873887061640255;143.0
11.975678798776336;145.0
12.639604092137645;147.0
12.278809782585407;149.0
12.016579132085578;151.0
12.40097241494823;153.0
11.355269390676952;155.0
11.406844127418697;157.0
11.471253201682835;159.0
11.337264552483994;161.0
11.510655852636768;163.0
11.171054915083065;165.0
11.69508427701814;167.0
11.880647504407742;169.0
11.950747362533226;171.0
12.276565530828881;173.0
12.904913131088996;175.0
13.284853743577367;177.0
14.413310274076837;179.0
14.849123306732363;181.0
15.32006898151584;183.0
15.8324371975419;185.0
16.14164807097452;187.0
16.569621594237034;189.0
17.128526427752174;191.0
17.69380504125666;193.0
18.1918786795173;195.0
18.604171596439755;197.0
18.932046291888987;199.0
18.797958561326414;201.0
18.71420591768487;203.0
18.23380865717777;205.0
18.319801871681808;207.0
17.627340888158948;209.0
17.787905183515715;211.0
16.908668188685297;213.0
16.958457991555452;215.0
15.968482542893666;217.0
15.606673953772717;219.0
14.739420784125253;221.0
14.415759920836114;223.0
14.024219131611646;225.0
13.340095637326206;227.0
12.73607022855855;229.0
12.33665049334029;231.0
12.199960101167528;233.0
11.490043601186503;235.0
10.79539116175056;237.0
10.8824702380129;239.0
10.689497735096017;241.0
10.921563535028527;243.0
11.0061844105274;245.0
11.323884715431996;247.0
10.955063833260024;249.0
11.090560520879402;251.0
9.631660281757899;253.0
9.200659692511698;255.0
8.916244026842234;257.0
9.975787547075166;259.0
10.7788641025586;261.0
11.628394333017493;263.0
12.359407045360427;265.0
12.849968680840313;267.0
13.233444018658208;269.0
13.14152070299556;271.0
13.349083698812862;273.0
14.089232049553532;275.0
14.216075948616409;277.0
14.676077313876005;279.0
15.342678195064064;281.0
15.927280487111476;283.0
16.624408691879147;285.0
17.329384096041508;287.0
17.96575348927913;289.0
18.50449867491883;291.0
18.942604809842095;293.0
19.288835382936274;295.0
19.556608007091224;297.0
19.333627244209463;299.0
19.199861139015578;301.0
19.50867545643294;303.0
19.365120462335714;305.0
18.53791448335471;307.0
18.27662311515538;309.0
18.07791248295869;311.0
17.544792860307147;313.0
17.10963902073868;315.0
17.20005067416771;317.0
16.853541390785285;319.0
16.242811995972737;321.0
15.52055904919429;323.0
14.84995299835036;325.0
14.563160673990627;327.0
14.028515426393934;329.0
13.382424401806736;331.0
13.165847635149003;333.0
12.578301564726363;335.0
12.325063053860422;337.0
11.97091593066331;339.0
9.712085270719886;341.0
9.767116351509122;343.0
10.273844156742733;345.0
10.344141788631202;347.0
10.382022782839423;349.0
11.008883756780598;351.0
11.198421088472879;353.0
11.521900416501541;355.0
12.606474073211261;357.0
13.497516144284482;359.0
14.101551586047574;361.0
14.735299786303948;363.0
15.317190985547445;365.0
15.784133329188608;367.0
16.103079156666283;369.0
16.353664036579055;371.0
16.078255428788015;373.0
16.448458455917535;375.0
16.58686327586715;377.0
16.492583950132637;379.0
16.822978235684243;381.0
16.8710863190842;383.0
16.983572694885407;385.0
16.619275625548628;387.0
16.899570820261047;389.0
17.215618641601953;391.0
17.57115611333124;393.0
17.47085915269328;395.0
17.33802433203877;397.0
17.663335466772853;399.0
17.47167148183065;401.0
16.525197152571863;403.0
16.564884858429107;405.0
16.173998105635746;407.0
15.815997119622844;409.0
15.363135131899933;411.0
15.152494388018559;413.0
13.766317091319468;415.0
13.599457405019681;417.0
12.970995102573692;419.0
12.899947898952073;421.0
12.624313767839059;423.0
12.585195831338142;425.0
12.255328898459657;427.0
13.042482055167456;429.0
12.733895822292427;431.0
12.346594981402239;433.0
